Turning on Radio log 
21:11:41 | [Local] | movement status received: still
21:11:49 | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
21:11:51 | [Local] | Sentence Queued for TTS
21:11:54 | [Local] | Sentence Queued for TTS
21:12:00 | [Local] | Sentence Queued for TTS
21:12:07 | [Local] | Sentence Queued for TTS
21:12:10 | [Local] | Sentence Queued for TTS
21:12:17 | [Local] | Sentence Queued for TTS
21:12:21 | [Local] | Sentence Queued for TTS
21:12:22 | [Local] | Playing song: rel1.wav
21:12:31 | [Local] | Song complete, segment_done set
21:12:31 | [Local] | Calling ollama LLM
21:12:35 | [Local] | Stop signal received
21:12:35 | [Local] | Closing Audio process
21:12:35 | [Local] | ffplay audio process stopped
21:12:35 | [Local] | Stop command sent to TTS queue
21:12:35 | [Local] | TTS stop sentinel received
21:12:35 | [Local] | Broadcast ended for Patrick
21:12:37 | [Local] | BLE disconnect event received
21:12:38 | [Local] | BLE Task cancelled
21:12:38 | [Local] | icon cleared 
21:12:38 | [Supervisor] | Stopping channel: Local
21:12:38 | [Supervisor] | Starting Channel: AnalogueRadio
21:12:48 | [Supervisor] | Stopping channel: AnalogueRadio
21:12:48 | [Supervisor] | Starting Channel: Local
21:12:48 | [Local] | Channel activated
21:12:48 | [Local] | House icon set 
21:12:48 | [Local] | Starting BLE scanning task
21:12:48 | [Local] | BLE scan cycle started
21:12:53 | [Local] | BLE Device found: BBC micro:bit [tivap] - C8:93:B5:41:F9:DA
21:12:54 | [Local] | Connected to BLE device
21:12:54 | [Local] | Calling ollama LLM
21:12:54 | [Local] | Intro audio started
21:12:54 | [Local] | ffplay audio process started
21:13:01 | [Local] | Intro audio bytes written to ffplay
21:13:04 | [Local] | movement status received: still
21:13:17 | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
21:13:19 | [Local] | Sentence Queued for TTS
21:13:21 | [Local] | Sentence Queued for TTS
21:13:23 | [Local] | Sentence Queued for TTS
21:13:26 | [Local] | Sentence Queued for TTS
21:13:33 | [Local] | Sentence Queued for TTS
21:13:40 | [Local] | Sentence Queued for TTS
21:13:42 | [Local] | Playing song: rel2.wav
21:13:54 | [Local] | Song complete, segment_done set
21:13:54 | [Local] | Calling ollama LLM
21:13:54 | [Local] | Stop signal received
21:13:54 | [Local] | Closing Audio process
21:13:54 | [Local] | ffplay audio process stopped
21:13:54 | [Local] | Stop command sent to TTS queue
21:13:54 | [Local] | TTS stop sentinel received
21:13:54 | [Local] | Broadcast ended for Patrick
21:13:56 | [Local] | BLE disconnect event received
21:13:57 | [Local] | BLE Task cancelled
21:13:57 | [Local] | icon cleared 
21:13:57 | [Supervisor] | Stopping channel: Local
21:13:57 | [Supervisor] | Starting Channel: AnalogueRadio
21:14:06 | [Supervisor] | Stopping channel: AnalogueRadio
21:14:06 | [Supervisor] | Starting Channel: Local
21:14:06 | [Local] | Channel activated
21:14:06 | [Local] | House icon set 
21:14:06 | [Local] | Starting BLE scanning task
21:14:06 | [Local] | BLE scan cycle started
21:14:11 | [Local] | BLE Device found: BBC micro:bit [tivap] - C8:93:B5:41:F9:DA
