Turning on Radio log 

23:17:33 | [Cloud] | Stop signal received
23:17:33 | [Cloud] | Closing Audio process
23:17:34 | [Cloud] | ffplay audio process stopped
23:17:34 | [Cloud] | Stop command sent to TTS queue
23:17:34 | [Cloud] | Broadcast ended for Patrick
23:17:34 | [Cloud] | audio scheduling task cancelled
23:17:35 | [Cloud] | BLE disconnect event received
23:17:36 | [Cloud] | BLE Task cancelled
23:17:36 | [Cloud] | icon cleared 
23:17:36 | [Supervisor] | Stopping channel: Cloud
23:17:36 | [Supervisor] | Starting Channel: AnalogueRadio
23:17:46 | [Supervisor | Quit signal received - stopping all channels
