timestamp,system_cpu_pct
2026-05-02T21:30:30.811675,2.0
2026-05-02T21:30:31.312020,1.0
2026-05-02T21:30:31.812326,10.5
2026-05-02T21:30:32.315481,33.2
2026-05-02T21:30:32.815896,37.7
2026-05-02T21:30:33.318362,28.0
2026-05-02T21:30:33.818695,25.4
2026-05-02T21:30:34.319024,25.5
2026-05-02T21:30:34.819397,25.6
2026-05-02T21:30:35.323219,25.4
2026-05-02T21:30:35.823619,26.2
2026-05-02T21:30:36.323942,25.3
2026-05-02T21:30:36.824262,25.0
2026-05-02T21:30:37.324859,27.4
2026-05-02T21:30:37.825363,17.4
2026-05-02T21:30:38.325680,0.5
2026-05-02T21:30:38.826133,1.5
2026-05-02T21:30:39.326459,0.5
2026-05-02T21:30:39.826765,0.5
2026-05-02T21:30:40.327512,0.5
2026-05-02T21:30:40.828080,1.0
2026-05-02T21:30:41.328607,2.5
2026-05-02T21:30:41.829061,4.0
2026-05-02T21:30:42.329553,3.5
2026-05-02T21:30:42.830135,5.5
2026-05-02T21:30:43.330602,3.5
2026-05-02T21:30:43.831093,4.5
2026-05-02T21:30:44.331591,7.1
2026-05-02T21:30:44.832062,2.0
2026-05-02T21:30:45.332587,5.0
2026-05-02T21:30:45.835120,4.0
2026-05-02T21:30:46.335602,6.0
2026-05-02T21:30:46.836053,1.5
2026-05-02T21:30:47.336505,1.0
2026-05-02T21:30:47.836902,20.2
2026-05-02T21:30:48.337268,0.0
2026-05-02T21:30:48.837601,1.5
2026-05-02T21:30:49.337929,0.5
2026-05-02T21:30:49.838256,0.0
2026-05-02T21:30:50.338709,1.0
2026-05-02T21:30:50.839122,0.5
2026-05-02T21:30:51.339456,0.5
2026-05-02T21:30:51.839755,0.0
2026-05-02T21:30:52.340052,0.0
2026-05-02T21:30:52.840399,0.5
2026-05-02T21:30:53.340812,3.4
2026-05-02T21:30:53.841194,0.5
2026-05-02T21:30:54.341576,0.5
2026-05-02T21:30:54.842003,0.0
2026-05-02T21:30:55.342596,22.7
2026-05-02T21:30:55.843696,97.5
2026-05-02T21:30:56.344040,97.0
2026-05-02T21:30:56.846345,99.0
2026-05-02T21:30:57.351543,97.5
2026-05-02T21:30:57.852050,96.0
2026-05-02T21:30:58.359782,100.0
2026-05-02T21:30:58.862546,94.5
2026-05-02T21:30:59.363381,94.5
2026-05-02T21:30:59.867968,94.6
2026-05-02T21:31:00.375920,99.5
2026-05-02T21:31:00.879779,100.0
2026-05-02T21:31:01.399514,100.0
2026-05-02T21:31:01.901868,97.5
2026-05-02T21:31:02.402614,98.5
2026-05-02T21:31:02.909568,95.6
2026-05-02T21:31:03.412068,98.0
2026-05-02T21:31:03.914760,97.5
2026-05-02T21:31:04.417127,95.0
2026-05-02T21:31:04.919807,95.0
2026-05-02T21:31:05.422202,97.0
2026-05-02T21:31:05.924382,97.0
2026-05-02T21:31:06.425093,95.5
2026-05-02T21:31:06.927955,97.0
2026-05-02T21:31:07.439903,100.0
2026-05-02T21:31:07.940245,99.5
2026-05-02T21:31:08.443527,100.0
2026-05-02T21:31:08.944077,98.5
2026-05-02T21:31:09.444473,98.5
2026-05-02T21:31:09.945144,94.4
2026-05-02T21:31:10.445755,97.0
2026-05-02T21:31:10.946352,94.6
2026-05-02T21:31:11.446765,96.0
2026-05-02T21:31:11.949375,94.5
2026-05-02T21:31:12.455686,97.5
2026-05-02T21:31:12.959283,99.5
2026-05-02T21:31:13.471499,100.0
2026-05-02T21:31:13.971872,99.5
2026-05-02T21:31:14.472572,99.0
