
timestamp,pid,python_cpu_pct,system_cpu_pct
2026-05-03T01:03:11.918780,14962,99.9,26.9
2026-05-03T01:03:12.419379,14962,99.9,25.5
2026-05-03T01:03:12.919879,14962,97.9,25.4
2026-05-03T01:03:13.422897,14962,35.8,23.5
2026-05-03T01:03:13.923354,14962,0.0,5.8
2026-05-03T01:03:14.423793,14962,0.0,6.2
2026-05-03T01:03:14.924249,14962,0.0,15.2
2026-05-03T01:03:15.424676,14962,2.0,3.0
2026-05-03T01:03:15.925100,14962,0.0,0.5
2026-05-03T01:03:16.425527,14962,0.0,1.0
2026-05-03T01:03:16.925947,14962,0.0,0.0
2026-05-03T01:03:17.426365,14962,0.0,1.0
2026-05-03T01:03:17.926900,14962,0.0,1.5
2026-05-03T01:03:18.427395,14962,0.0,6.9
2026-05-03T01:03:18.927857,14962,0.0,1.0
2026-05-03T01:03:19.428311,14962,4.0,6.9
2026-05-03T01:03:19.928869,14962,2.0,2.5
2026-05-03T01:03:20.429713,14962,0.0,4.0
2026-05-03T01:03:20.930235,14962,0.0,5.4
2026-05-03T01:03:21.430707,14962,2.0,2.5
2026-05-03T01:03:21.931182,14962,0.0,0.5
2026-05-03T01:03:22.431655,14962,0.0,2.0
2026-05-03T01:03:22.932129,14962,0.0,2.0
2026-05-03T01:03:23.432743,14962,2.0,2.0
2026-05-03T01:03:23.933316,14962,0.0,2.5
2026-05-03T01:03:24.433851,14962,6.0,8.0
2026-05-03T01:03:24.934385,14962,0.0,0.0
2026-05-03T01:03:25.437851,14962,13.9,17.1
2026-05-03T01:03:25.938330,14962,40.0,18.2
2026-05-03T01:03:26.438779,14962,0.0,0.0
2026-05-03T01:03:26.939221,14962,0.0,0.5
2026-05-03T01:03:27.439666,14962,0.0,0.5
2026-05-03T01:03:27.940096,14962,0.0,0.5
2026-05-03T01:03:28.440532,14962,0.0,0.0
2026-05-03T01:03:28.940964,14962,0.0,0.0
2026-05-03T01:03:29.441406,14962,0.0,0.5
2026-05-03T01:03:29.941867,14962,0.0,0.0
2026-05-03T01:03:30.442458,14962,0.0,0.0
2026-05-03T01:03:30.944265,14962,0.0,2.5
2026-05-03T01:03:31.444831,14962,0.0,0.0
2026-05-03T01:03:31.945455,14962,4.0,2.0
2026-05-03T01:03:33.128191,14962,23.7,7.4
2026-05-03T01:03:33.630841,14962,87.5,22.1
2026-05-03T01:03:34.132940,14962,6.0,2.5
2026-05-03T01:03:34.634815,14962,8.0,2.5
2026-05-03T01:03:35.135252,14962,2.0,0.5
2026-05-03T01:03:35.635742,14962,0.0,1.0
2026-05-03T01:03:36.136231,14962,0.0,0.0
2026-05-03T01:03:36.636738,14962,0.0,0.5
2026-05-03T01:03:37.137236,14962,0.0,0.0
2026-05-03T01:03:37.641283,14962,2.0,1.0
2026-05-03T01:03:38.141863,14962,0.0,0.5
2026-05-03T01:03:38.642467,14962,0.0,0.0
2026-05-03T01:03:39.143037,14962,0.0,0.5
2026-05-03T01:03:39.643610,14962,0.0,0.0
2026-05-03T01:03:40.144168,14962,0.0,0.0
2026-05-03T01:03:40.644731,14962,0.0,1.0
2026-05-03T01:03:41.145298,14962,0.0,0.0
2026-05-03T01:03:41.645916,14962,0.0,0.0
2026-05-03T01:03:42.146647,14962,2.0,1.0
2026-05-03T01:03:42.650246,14962,0.0,0.0
2026-05-03T01:03:43.150913,14962,0.0,0.5
2026-05-03T01:03:43.651578,14962,0.0,0.5
2026-05-03T01:03:44.152147,14962,0.0,0.0
2026-05-03T01:03:44.652752,14962,0.0,0.5
2026-05-03T01:03:45.153468,14962,0.0,0.0
2026-05-03T01:03:45.654099,14962,0.0,0.5
2026-05-03T01:03:46.154727,14962,0.0,0.0
2026-05-03T01:03:46.655352,14962,0.0,1.0
2026-05-03T01:03:47.155970,14962,2.0,0.5
2026-05-03T01:03:47.659594,14962,0.0,0.5
2026-05-03T01:03:48.160255,14962,0.0,0.5
2026-05-03T01:03:48.660887,14962,0.0,0.5
2026-05-03T01:03:49.161529,14962,0.0,0.0
2026-05-03T01:03:49.662139,14962,0.0,0.0
2026-05-03T01:03:50.162752,14962,0.0,0.0
2026-05-03T01:03:50.663367,14962,0.0,0.5
2026-05-03T01:03:51.164064,14962,0.0,0.5
2026-05-03T01:03:51.664776,14962,0.0,1.0
2026-05-03T01:03:52.165449,14962,0.0,0.5
2026-05-03T01:03:52.666108,14962,0.0,0.0
2026-05-03T01:03:53.166768,14962,0.0,2.0
2026-05-03T01:03:53.667432,14962,0.0,1.0
2026-05-03T01:03:54.168091,14962,0.0,0.0
2026-05-03T01:03:54.668744,14962,0.0,0.5
2026-05-03T01:03:55.169397,14962,0.0,0.0
