timestamp,ollama_runner_cpu_pct,system_cpu_pct
2026-05-03T00:26:22.889405,0.0,0.0
2026-05-03T00:26:23.389903,0.0,1.5
2026-05-03T00:26:23.890384,0.0,15.2
2026-05-03T00:26:24.390847,0.0,9.8
2026-05-03T00:26:24.891399,0.0,10.3
2026-05-03T00:26:25.394128,0.0,17.5
2026-05-03T00:26:25.894634,0.0,8.3
2026-05-03T00:26:26.397222,0.0,10.4
2026-05-03T00:26:26.899858,0.0,6.0
2026-05-03T00:26:27.400366,0.0,2.5
2026-05-03T00:26:27.900884,0.0,0.5
2026-05-03T00:26:28.401524,0.0,5.5
2026-05-03T00:26:28.902064,0.0,26.0
2026-05-03T00:26:29.402586,0.0,37.4
2026-05-03T00:26:29.903100,0.0,25.3
2026-05-03T00:26:30.403610,0.0,25.5
2026-05-03T00:26:30.904120,0.0,29.1
2026-05-03T00:26:31.405078,0.0,28.6
2026-05-03T00:26:31.905584,0.0,26.1
2026-05-03T00:26:32.406039,0.0,25.3
2026-05-03T00:26:32.906496,0.0,25.5
2026-05-03T00:26:33.406945,0.0,30.7
2026-05-03T00:26:33.907334,0.0,25.1
2026-05-03T00:26:34.407781,0.0,18.8
2026-05-03T00:26:34.908244,0.0,1.5
2026-05-03T00:26:35.408696,0.0,0.5
2026-05-03T00:26:35.909143,0.0,6.1
2026-05-03T00:26:36.409596,0.0,2.0
2026-05-03T00:26:36.910037,0.0,0.0
2026-05-03T00:26:37.411120,0.0,2.0
2026-05-03T00:26:37.911653,0.0,4.0
2026-05-03T00:26:38.412087,0.0,1.0
2026-05-03T00:26:38.912603,0.0,2.0
2026-05-03T00:26:39.413161,0.0,2.5
2026-05-03T00:26:39.913732,0.0,0.5
2026-05-03T00:26:40.414270,0.0,0.5
2026-05-03T00:26:40.917797,0.0,0.5
2026-05-03T00:26:41.418527,0.0,8.5
2026-05-03T00:26:41.919208,0.0,13.0
2026-05-03T00:26:42.419837,0.0,4.5
2026-05-03T00:26:42.920454,0.0,1.5
2026-05-03T00:26:43.421002,0.0,0.5
2026-05-03T00:26:43.921582,0.0,3.0
2026-05-03T00:26:44.422384,0.0,3.0
2026-05-03T00:26:44.923009,0.0,1.0
2026-05-03T00:26:45.423563,0.0,1.5
2026-05-03T00:26:45.924121,0.0,2.0
2026-05-03T00:26:46.424753,0.0,5.6
2026-05-03T00:26:46.925288,0.0,2.0
2026-05-03T00:26:47.425825,0.0,1.0
2026-05-03T00:26:47.927252,0.0,20.8
2026-05-03T00:26:48.429504,0.0,1.0
2026-05-03T00:26:48.929946,0.0,0.0
2026-05-03T00:26:49.430392,0.0,0.0
2026-05-03T00:26:49.930825,0.0,0.0
2026-05-03T00:26:50.431252,0.0,1.0
2026-05-03T00:26:50.931681,0.0,5.2
2026-05-03T00:26:51.432117,0.0,4.3
2026-05-03T00:26:51.932552,0.0,1.5
2026-05-03T00:26:52.432982,0.0,0.0
2026-05-03T00:26:52.933450,0.0,10.6
2026-05-03T00:26:53.433932,0.0,3.0
2026-05-03T00:26:53.934407,0.0,0.5
2026-05-03T00:26:54.434832,0.0,0.0
2026-05-03T00:26:54.935256,0.0,0.5
2026-05-03T00:26:55.435782,0.0,17.4
2026-05-03T00:26:55.936814,357.3,94.0
2026-05-03T00:26:56.437943,387.1,99.5
2026-05-03T00:26:56.945795,257.9,100.0
2026-05-03T00:26:57.448603,334.1,97.0
2026-05-03T00:26:57.951589,391.7,99.5
2026-05-03T00:26:58.452170,293.6,99.5
2026-05-03T00:26:58.959090,301.8,100.0
2026-05-03T00:26:59.461905,390.0,99.5
2026-05-03T00:26:59.964768,387.6,99.5
2026-05-03T00:27:00.477962,249.5,100.0
2026-05-03T00:27:00.979105,319.5,99.5
2026-05-03T00:27:01.486288,388.2,99.5
2026-05-03T00:27:01.987485,387.3,99.5
2026-05-03T00:27:02.488103,383.3,99.5
2026-05-03T00:27:02.994660,389.2,99.5
2026-05-03T00:27:03.496162,386.9,99.5
2026-05-03T00:27:03.998103,390.2,99.5
2026-05-03T00:27:04.501871,236.2,100.0
2026-05-03T00:27:05.010122,214.5,99.5
2026-05-03T00:27:05.522441,236.4,100.0
2026-05-03T00:27:06.032309,368.4,99.5
2026-05-03T00:27:06.540002,390.1,99.5
2026-05-03T00:27:07.040493,385.5,99.5
2026-05-03T00:27:07.541849,391.3,99.5
2026-05-03T00:27:08.043228,388.9,99.5
2026-05-03T00:27:08.543909,285.4,99.5
2026-05-03T00:27:09.057900,214.0,100.0
2026-05-03T00:27:09.566868,220.3,100.0
2026-05-03T00:27:10.078016,355.7,99.0
2026-05-03T00:27:10.582563,384.7,99.5
2026-05-03T00:27:11.083542,389.0,99.5
2026-05-03T00:27:11.584174,387.5,99.5
2026-05-03T00:27:12.086908,387.9,99.5
2026-05-03T00:27:12.587905,379.3,99.5
2026-05-03T00:27:13.090349,390.1,99.5
2026-05-03T00:27:13.591017,387.4,99.5
2026-05-03T00:27:14.092311,371.3,99.5
2026-05-03T00:27:14.594515,380.2,99.5
2026-05-03T00:27:15.097840,210.5,100.0
2026-05-03T00:27:15.602900,202.1,99.5
2026-05-03T00:27:16.113792,209.2,100.0
2026-05-03T00:27:16.614413,221.7,100.0
2026-05-03T00:27:17.118803,341.3,98.5
2026-05-03T00:27:17.619976,346.9,99.5
2026-05-03T00:27:18.120887,391.3,99.5
2026-05-03T00:27:18.623627,381.9,99.5
2026-05-03T00:27:19.124176,385.6,99.5
2026-05-03T00:27:19.625383,387.3,99.5
2026-05-03T00:27:20.126000,375.3,99.5
2026-05-03T00:27:20.633912,330.8,99.0
2026-05-03T00:27:21.134483,281.7,99.5
2026-05-03T00:27:21.635091,201.8,100.0
2026-05-03T00:27:22.144132,218.0,99.0
2026-05-03T00:27:22.649920,29.7,8.9
2026-05-03T00:27:23.150357,0.0,0.0
2026-05-03T00:27:23.650783,0.0,2.0
2026-05-03T00:27:24.151226,0.0,0.0
2026-05-03T00:27:24.651671,0.0,0.5
2026-05-03T00:27:25.152102,0.0,0.5
2026-05-03T00:27:25.652547,0.0,1.0
2026-05-03T00:27:26.152980,0.0,0.0
2026-05-03T00:27:26.653411,0.0,0.0
2026-05-03T00:27:27.153862,0.0,2.5
2026-05-03T00:27:27.654299,0.0,0.0
2026-05-03T00:27:28.154842,0.0,0.0
2026-05-03T00:27:28.655393,0.0,0.5
2026-05-03T00:27:29.155959,0.0,0.5
2026-05-03T00:27:29.656582,0.0,5.6
2026-05-03T00:27:30.157067,0.0,5.6
2026-05-03T00:27:30.657636,0.0,2.5
2026-05-03T00:27:31.158087,0.0,2.0
2026-05-03T00:27:31.658538,0.0,0.5
2026-05-03T00:27:32.158977,0.0,0.0
2026-05-03T00:27:32.659455,0.0,15.7
2026-05-03T00:27:33.159942,303.7,84.6
2026-05-03T00:27:33.660439,395.6,100.0
2026-05-03T00:27:34.160941,393.6,100.0
2026-05-03T00:27:34.661459,395.6,100.0
2026-05-03T00:27:35.162601,383.3,100.0
2026-05-03T00:27:35.663260,389.3,100.0
2026-05-03T00:27:36.163816,395.6,100.0
2026-05-03T00:27:36.664371,395.6,100.0
2026-05-03T00:27:37.164945,393.6,100.0
2026-05-03T00:27:37.667911,395.6,100.0
2026-05-03T00:27:38.168464,395.6,100.0
2026-05-03T00:27:38.669094,395.5,100.0
2026-05-03T00:27:39.172045,395.6,100.0
2026-05-03T00:27:39.672582,393.6,100.0
2026-05-03T00:27:40.175471,393.7,100.0
2026-05-03T00:27:40.676020,397.6,100.0
2026-05-03T00:27:41.178899,393.7,100.0
2026-05-03T00:27:41.679450,391.6,100.0
2026-05-03T00:27:42.180000,395.6,100.0
2026-05-03T00:27:42.682946,395.7,100.0
2026-05-03T00:27:43.183492,395.6,100.0
2026-05-03T00:27:43.683991,397.6,100.0
