timestamp,pid,ollama_cpu_pct,system_cpu_pct
2026-05-02T21:45:15.931603,1507,0.0,2.4
2026-05-02T21:45:16.432101,1507,0.0,0.0
2026-05-02T21:45:16.932548,1507,0.0,0.0
2026-05-02T21:45:17.432985,1507,0.0,1.0
2026-05-02T21:45:17.933411,1507,0.0,0.5
2026-05-02T21:45:18.433841,1507,0.0,0.0
2026-05-02T21:45:18.934232,1507,0.0,0.5
2026-05-02T21:45:19.434621,1507,0.0,0.5
2026-05-02T21:45:19.935001,1507,0.0,0.5
2026-05-02T21:45:20.435455,1507,0.0,1.5
2026-05-02T21:45:20.935994,1507,0.0,3.9
2026-05-02T21:45:21.436564,1507,0.0,4.5
2026-05-02T21:45:21.937195,1507,0.0,4.0
2026-05-02T21:45:22.437716,1507,0.0,0.0
2026-05-02T21:45:22.938284,1507,0.0,0.5
2026-05-02T21:45:23.438811,1507,0.0,0.0
2026-05-02T21:45:23.939411,1507,0.0,1.0
2026-05-02T21:45:24.440007,1507,0.0,1.5
2026-05-02T21:45:24.940603,1507,0.0,3.5
2026-05-02T21:45:25.442030,1507,0.0,2.0
2026-05-02T21:45:25.943008,1507,0.0,4.9
2026-05-02T21:45:26.446648,1507,0.0,3.0
2026-05-02T21:45:26.947807,1507,0.0,3.5
2026-05-02T21:45:27.448452,1507,0.0,1.0
2026-05-02T21:45:27.949031,1507,0.0,3.5
2026-05-02T21:45:28.449612,1507,0.0,4.0
2026-05-02T21:45:28.950211,1507,0.0,2.0
2026-05-02T21:45:29.451792,1507,0.0,5.0
2026-05-02T21:45:29.952316,1507,0.0,1.0
2026-05-02T21:45:30.455248,1507,0.0,1.0
2026-05-02T21:45:30.955743,1507,0.0,24.1
2026-05-02T21:45:31.456219,1507,0.0,0.0
2026-05-02T21:45:31.956687,1507,0.0,0.0
2026-05-02T21:45:32.457153,1507,0.0,0.0
2026-05-02T21:45:32.957602,1507,0.0,0.0
2026-05-02T21:45:33.458045,1507,0.0,0.0
2026-05-02T21:45:33.958554,1507,0.0,10.0
2026-05-02T21:45:34.459045,1507,0.0,0.0
2026-05-02T21:45:34.959524,1507,0.0,1.0
2026-05-02T21:45:35.460001,1507,0.0,0.0
2026-05-02T21:45:35.960591,1507,0.0,0.5
2026-05-02T21:45:36.461194,1507,0.0,1.0
2026-05-02T21:45:36.961776,1507,0.0,0.0
2026-05-02T21:45:37.462373,1507,0.0,0.5
2026-05-02T21:45:37.962993,1507,0.0,0.0
2026-05-02T21:45:38.463688,1507,83.9,43.0
2026-05-02T21:45:38.964213,1507,0.0,100.0
2026-05-02T21:45:39.464753,1507,0.0,100.0
2026-05-02T21:45:39.965272,1507,0.0,100.0
2026-05-02T21:45:40.467661,1507,0.0,100.0
2026-05-02T21:45:40.968223,1507,0.0,100.0
2026-05-02T21:45:41.468775,1507,0.0,100.0
2026-05-02T21:45:41.969382,1507,0.0,100.0
2026-05-02T21:45:42.469944,1507,0.0,100.0
2026-05-02T21:45:42.972121,1507,0.0,100.0
2026-05-02T21:45:43.472624,1507,0.0,100.0
2026-05-02T21:45:43.973200,1507,0.0,100.0
2026-05-02T21:45:44.473782,1507,0.0,100.0
2026-05-02T21:45:44.974275,1507,0.0,100.0
2026-05-02T21:45:45.479750,1507,0.0,100.0
2026-05-02T21:45:45.980313,1507,0.0,100.0
2026-05-02T21:45:46.482433,1507,0.0,100.0
2026-05-02T21:45:46.982992,1507,0.0,100.0
2026-05-02T21:45:47.483580,1507,0.0,100.0
2026-05-02T21:45:47.984070,1507,0.0,100.0
2026-05-02T21:45:48.486287,1507,0.0,100.0
2026-05-02T21:45:48.986783,1507,0.0,100.0
2026-05-02T21:45:49.487355,1507,0.0,100.0
2026-05-02T21:45:49.987843,1507,0.0,100.0
2026-05-02T21:45:50.488389,1507,0.0,100.0
2026-05-02T21:45:50.988982,1507,0.0,100.0
2026-05-02T21:45:51.489481,1507,0.0,100.0
2026-05-02T21:45:51.990036,1507,0.0,100.0
2026-05-02T21:45:52.492235,1507,0.0,100.0
2026-05-02T21:45:52.992750,1507,0.0,100.0
2026-05-02T21:45:53.493308,1507,0.0,100.0
2026-05-02T21:45:53.993810,1507,0.0,100.0
2026-05-02T21:45:54.494815,1507,0.0,98.5
2026-05-02T21:45:54.997130,1507,0.0,96.5
2026-05-02T21:45:55.497781,1507,0.0,98.5
2026-05-02T21:45:56.000460,1507,0.0,97.0
